Species,Valley,SampleSite,Count,Mean
Owens Tui Chub,NA,CD Spring,4,542690
Relict dace,Butte Valley,Cordano Ranch,10,1330935
Relict dace,Butte Valley,Spring north of Stratton Ranch,10,610934.6
Relict dace,Butte Valley,Stratton Ranch,10,1191847.8
Relict dace,Goshute Valley,Big Spring North,7,253001.2857142857
Relict dace,Goshute Valley,DItch 01,10,1401989.7
Relict dace,Goshute Valley,Ditch 09,10,1044155.6
Relict Dace,Butte Valley,Odger's Creek,10,942801.6
Relict Dace,Butte Valley,Quilici Pond,10,841445.9
Relict Dace,Goshute Valley,Johnson Springs Wetland Complex,10,959613.6
Relict Dace,Goshute Valley,Twin Springs,10,780189
Relict Dace,Ruby Valley,Franklin Lake,10,972866.5
Relict Dace,Ruby Valley,Franklin River,10,573735.2
Relict Dace,Ruby Valley,"Ruby Lake, Pond 226",8,675641.625
Relict Dace,Ruby Valley,"Ruby Lake, Pond 246",10,681784
Relict Dace,Spring Valley,Keegan Ranch,10,697252.4
Relict Dace,Spring Valley,Stonehouse,10,819444.1
Relict Dace,Steptoe Valley,Morrison Ranch,10,848281.5
Relict Dace,Steptoe Valley,Phillips Ranch,10,848818.8
Relict Dace,Steptoe Valley,Rio Tinto/Kennecott Copper Corporation,10,859872.4
Relict Dace,Steptoe Valley,Steptoe Valley Wildlife Management Area,10,854840.6
Speckled Dace,NA,Humboldt River,2,449127
Speckled Dace,NA,Walker River,2,318191.5
